Gene ID	treated_1	treated_2	treated_3	untreated_1	untreated_2	untreated_3
TATDN3	141	106	123	308	228	323
SPATA45	3	3	0	0	0	4
FLVCR1-DT	12	2	5	21	17	16
FLVCR1	566	424	380	849	547	786
VASH2	210	144	193	591	406	526
ANGEL2	863	594	688	1577	1043	1503
RPS6KC1	728	524	634	965	645	993
LOC105372912	0	0	0	0	0	0
PROX1-AS1	0	0	0	0	0	0
LINC00538	0	0	0	0	0	0
PROX1	1	0	0	0	0	0
LINC02775	0	0	0	0	0	0
SMYD2	1669	1352	1366	2089	1533	2076
LOC107985263	131	112	117	190	128	160
PTPN14	1147	797	843	1211	837	1077
CENPF	582	431	457	5769	3726	5741
LOC105372916	1	0	1	0	0	0
LOC105372915	0	1	0	0	1	0
KCNK2	418	329	330	711	479	668
LOC105372919	31	19	26	55	42	59
KCTD3	4267	3484	3526	9111	6465	8898
USH2A	17	11	14	6	3	7
USH2A-AS2	0	0	0	0	0	0
USH2A-AS1	0	0	0	0	0	0
LOC107985596	0	0	0	0	0	0
ESRRG	25	19	21	55	35	55
LOC107985461	0	0	0	0	0	0
LOC105372920	0	0	0	0	0	0
GPATCH2	1744	1292	1415	2558	1737	2572
SPATA17	122	81	88	245	176	244
SPATA17-AS1	13	10	12	40	29	43
LINC00210	1	1	0	0	0	0
LOC105372922	2	0	0	0	0	0
LINC01653	3	0	0	0	0	0
LOC105372923	0	0	0	0	0	0
RRP15	1987	1383	1570	2822	1874	2718
TGFB2-AS1	287	188	229	28	23	23
TGFB2	6444	4997	5073	559	392	404
TGFB2-OT1	825	566	635	66	44	45
LINC02869	4	0	7	2	0	0
LOC105372924	0	0	0	0	0	0
LINC01710	0	0	0	0	0	0
LYPLAL1-DT	4	3	1	5	4	0
LYPLAL1	742	551	591	1321	871	1161
LOC107984018	14	11	10	20	14	25
LYPLAL1-AS1	3	2	7	5	4	5
LOC107985272	1	0	0	0	0	0
ZC3H11B	381	284	309	572	354	521
LOC105372926	0	4	0	0	0	0
SLC30A10	0	2	1	0	0	0
LOC107985281	0	0	0	0	0	0
EPRS1	7925	5987	6343	10276	7207	10090
BPNT1	1323	1017	1074	2660	1950	2720
IARS2	4317	3347	3514	8666	5832	8160
LOC105373475	5	4	3	12	6	9
MIR215	0	0	0	0	1	2
MIR194-1	1	3	0	6	0	2
RAB3GAP2	2500	1847	1873	3335	2262	3102
MIR664A	1	1	0	1	0	0
SNORA36B	1	1	0	1	0	0
AURKAP1	25	20	20	49	23	43
LINC02779	0	0	0	0	0	0
LOC105372928	0	0	0	0	0	0
MARK1	125	79	73	102	75	98
C1orf115	326	251	281	330	225	301
MTARC2	246	222	229	386	241	340
MTARC1	580	412	434	999	667	967
RNU6ATAC35P	3	4	3	2	3	4
LINC01352	1	0	1	0	0	0
HLX-AS1	0	0	0	0	0	0
HLX	1	1	1	0	0	0
LOC105372930	0	0	0	0	0	0
LOC101929750	0	0	0	0	0	0
LOC107985296	0	0	0	0	0	0
LOC105372932	0	0	0	0	0	0
LINC02817	0	0	0	0	0	0
LOC105372934	0	0	0	0	0	0
LOC107985462	0	0	0	0	0	0
LOC105372937	0	0	2	0	0	0
DUSP10	568	387	396	162	104	153
LOC105372945	11	5	7	7	3	3
LOC107985300	0	0	1	0	0	0
LINC01655	0	0	0	0	0	0
LINC02257	0	1	0	0	0	0
LINC02474	0	0	0	0	0	0
LINC01705	0	0	0	0	0	0
TRT-TGT2-1	0	0	0	0	0	0
LOC105372956	45	34	44	64	59	71
HHIPL2	132	100	99	182	119	159
TAF1A	272	216	218	411	328	504
TAF1A-AS1	56	46	64	97	50	99
LOC107985318	2	0	2	6	2	4
MIA3	3484	2573	2833	3643	2616	3491
AIDA	922	646	766	1383	971	1315
BROX	2012	1397	1600	3045	2097	2963
FAM177B	11	15	14	1	4	2
LOC105372984	0	1	2	0	0	0
DISP1	303	247	282	335	265	343
LOC102724046	66	45	57	83	37	45
LOC107985323	141	90	100	111	102	113
TLR5	112	98	91	210	191	233
SUSD4	863	609	724	1591	950	1290
LOC105373025	0	1	0	0	1	1
CCDC185	6	9	9	15	9	23
LOC105373034	0	0	0	0	0	1
CAPN8	61	44	47	294	226	241
LOC105373281	0	1	0	0	0	0
CAPN2	560	377	403	936	836	908
LOC105373046	0	0	1	0	0	0
LOC105373041	4	6	4	9	10	8
TP53BP2	1584	1125	1174	1594	1137	1544
GTF2IP20	762	588	670	1393	929	1301
SEPTIN7P13	476	321	378	684	476	651
LOC105373061	0	0	0	0	0	0
LOC105373056	1	0	0	0	1	0
FBXO28	2176	1559	1724	2814	2040	2905
DEGS1	1976	1483	1614	3350	2324	2880
LOC101927143	6	3	10	20	16	24
LOC101927164	199	123	146	334	254	314
NVL	3868	2957	3147	7570	5264	7099
MIR320B2	8	3	5	15	15	19
CNIH4	1526	1201	1294	2113	1543	2067
WDR26	7342	5388	5744	9396	6598	8921
MIR4742	2	2	1	2	2	3
CNIH3	77	49	64	68	47	65
CNIH3-AS2	7	4	10	5	4	4
CNIH3-AS1	5	2	2	3	0	0
LINC02813	0	0	0	0	0	0
LOC105373108	0	0	0	0	0	0
LOC105373109	0	0	0	2	1	0
DNAH14	347	258	324	762	494	693
LBR	201	187	178	870	604	867
LINC02765	0	0	1	0	0	0
ENAH	5106	3700	3996	8212	5529	7869
LOC102723834	3	0	1	1	0	0
LOC107985352	0	1	0	0	1	3
SRP9	4685	3433	3883	10323	7331	10677
EPHX1	778	555	669	949	676	908
TMEM63A	4411	2821	3590	3811	2564	3400
LEFTY1	9	20	11	7	6	8
PYCR2	1934	1275	1649	2728	1809	2540
MIR6741	14	6	11	24	14	19
LEFTY2	5	0	2	0	0	0
SDE2	968	809	778	1213	774	1228
H3-3A	12323	8307	10269	90120	64860	86724
LINC01703	41	27	35	93	74	73
ACBD3	2595	1949	2104	2934	2086	2826
ACBD3-AS1	248	170	209	266	160	239
LOC101927247	0	2	1	1	1	4
MIXL1	0	2	0	1	0	1
LIN9	247	199	215	457	326	434
PARP1	4483	3103	3782	10379	6663	9274
LOC105373115	0	0	0	0	0	0
LOC105373116	1	1	0	0	0	0
STUM	2	2	2	1	1	4
ITPKB	845	607	689	1480	929	1331
ITPKB-IT1	3	0	0	5	1	4
LOC105373117	2	2	1	2	1	3
LOC105373119	0	0	1	0	0	0
PSEN2	821	547	636	821	629	787
LOC107985354	12	8	18	20	8	13
COQ8A	1646	1113	1296	2875	1911	2483
LOC105379282	138	89	102	208	122	174
CDC42BPA	3289	2424	2715	3700	2380	3462
LINC01641	0	0	1	0	0	0
LOC105373122	2	3	0	0	1	1
ZNF678	641	485	464	965	681	1036
ZNF847P	0	0	0	0	0	0
SNAP47	1760	1185	1431	2440	1729	2267
JMJD4	843	492	667	932	630	825
LOC105373289	3	1	6	8	3	6
PRSS38	0	0	0	0	1	0
WNT9A	513	378	426	370	249	268
MIR5008	5	1	5	0	5	1
LOC107985355	27	17	22	66	29	44
WNT3A	22	24	23	13	12	17
LINC02809	7	9	7	10	11	9
ARF1	15190	10006	12147	17275	11495	15321
MIR3620	20	3	9	15	7	7
C1orf35	1103	741	867	1756	1140	1535
MRPL55	985	658	763	1419	991	1289
GUK1	5073	3531	4009	5694	4145	5163
GJC2	27	17	16	34	18	27
IBA57-DT	17	15	7	14	13	15
IBA57	666	447	563	1267	897	1211
OBSCN-AS1	128	72	115	328	205	320
OBSCN	3246	2181	2777	7764	5066	6372
LOC101927401	260	144	179	553	310	406
TRIM11	2899	1950	2334	2711	1829	2453
MIR6742	10	4	7	5	7	6
TRIM17	137	89	115	209	125	166
H3-4	22	22	19	34	15	29
H2AC25	1964	1578	1589	2364	1817	2210
H2BC26	59	50	48	62	51	72
MIR4666A	3	0	2	2	2	1
RNF187	5761	3857	4682	5881	3853	5300
BTNL10P	39	37	30	107	78	106
LOC105373124	17	20	22	66	43	59
RNA5S1	0	0	0	0	0	0
RNA5S2	0	0	0	0	0	0
RNA5S3	0	0	0	0	0	0
RNA5S4	0	0	0	0	0	0
RNA5S5	0	0	0	0	0	0
RNA5S6	0	0	0	0	0	0
RNA5S7	0	0	0	0	0	0
RNA5S8	0	0	0	0	0	0
RNA5S9	2	1	0	1	1	0
RNA5S10	0	0	0	0	0	0
RNA5S11	0	0	0	0	0	0
RNA5S12	0	0	0	0	0	0
RNA5S13	0	0	0	0	0	0
RNA5S14	0	0	0	0	0	0
RNA5S15	0	0	0	0	0	0
RNA5S16	0	0	0	0	0	0
RHOU	1436	1020	1106	5880	4120	5472
DUSP5P1	9	10	15	84	62	76
RNA5S17	0	0	0	0	0	0
LOC105373143	1	0	0	2	0	0
LINC02815	2	6	2	3	11	4
LINC02814	42	24	39	43	31	44
LOC102723935	1	4	0	1	0	0
RAB4A-AS1	213	170	167	363	246	327
RAB4A	1875	1372	1349	2445	1762	2221
CCSAP	516	390	376	671	502	648
ACTA1	17	18	17	6	4	13
NUP133	1957	1537	1548	3646	2460	3606
NUP133-DT	5	2	2	1	0	1
ABCB10	756	556	524	1152	682	878
TAF5L	1266	898	1055	1468	909	1268
URB2	1282	932	1022	1911	1193	1590
LOC105373161	0	0	0	0	0	0
LOC107985464	0	0	0	0	0	0
LOC105373162	0	0	0	0	0	0
LINC01682	0	0	0	0	0	0
LOC105373163	0	0	0	0	0	0
LINC01736	0	0	0	0	0	0
GALNT2	3106	2152	2564	3221	2170	2667
PGBD5	223	150	190	153	102	147
LOC105373164	2	0	1	0	0	0
LOC105373165	0	0	0	0	0	0
LOC107985357	0	0	1	0	0	0
LINC01737	0	0	0	0	0	0
COG2	1477	1000	1269	1960	1528	1949
LOC107985358	66	46	64	103	85	106
AGT	3	2	4	0	2	2
LOC105373166	0	0	0	0	0	0
CAPN9	281	184	212	294	266	322
LOC107985359	33	9	20	30	26	31
C1orf198	1899	1338	1475	2185	1361	1905
LOC101927604	21	21	16	23	21	22
LOC105373167	1	1	0	0	1	0
TTC13	868	602	694	1097	793	1071
ARV1	384	262	301	530	377	535
FAM89A	114	123	105	148	87	151
MIR1182	17	10	16	23	13	23
TRIM67	12	5	5	15	11	12
TRIM67-AS1	0	0	0	0	0	0
C1orf131	544	372	417	943	634	878
GNPAT	1448	1044	1134	2325	1634	2295
LOC112268256	167	128	135	235	187	217
EXOC8	1079	748	767	1253	868	1172
SPRTN	539	389	450	776	574	779
LOC107985360	55	45	33	113	58	86
EGLN1	1195	1013	1004	2710	1928	2750
SNRPD2P2	0	0	0	0	0	0
TSNAX-DISC1	302	244	235	561	399	533
TSNAX	743	619	546	1423	994	1451
LINC00582	0	0	0	3	0	0
DISC1	89	87	79	184	141	170
LOC105373170	1	0	1	0	0	5
DISC2	3	6	2	4	3	6
DISC1-IT1	0	1	2	2	2	1
LOC105373172	2	2	0	3	1	3
LOC105373171	4	1	1	0	0	4
LOC101929902	0	4	0	2	6	0
LOC105373196	1	2	0	0	0	1
LOC105373198	10	5	2	4	1	3
SIPA1L2	2328	1697	1743	2059	1403	2023
LINC01745	0	1	0	0	0	0
LINC01744	0	0	0	0	0	0
LOC107983960	0	0	0	0	0	0
MAP10	332	255	240	495	311	448
LOC101927711	6	1	1	1	1	0
LOC105373201	4	3	0	1	0	0
LOC107985361	64	49	52	132	86	126
NTPCR	750	496	606	1220	857	1208
PCNX2	1582	1118	1260	1575	1067	1455
MAP3K21	1021	719	761	1135	769	1083
KCNK1	1130	822	950	1238	831	1045
MIR4427	0	0	0	0	0	1
LOC107985362	74	56	70	64	54	65
SLC35F3	2	2	0	1	1	2
LOC107985363	0	0	1	2	0	0
SLC35F3-AS1	0	0	0	0	0	0
LOC105373206	1	1	0	0	0	0
MIR4671	0	0	0	0	0	0
COA6-AS1	118	77	102	202	154	193
COA6	404	275	312	731	512	707
TARBP1	4192	3207	3358	4751	3187	4210
LINC01354	3	8	6	0	0	0
LOC107985465	0	0	0	1	0	0
IRF2BP2	8899	6924	7121	9124	6422	8010
LINC00184	13	9	8	13	9	13
LOC101927787	40	17	18	23	24	25
LOC105373207	6	2	5	6	4	4
LOC105373209	19	13	17	18	14	18
LOC105373208	9	4	4	7	5	13
LINC01132	136	100	113	135	105	141
LOC105373210	0	0	0	0	0	0
LOC107985364	2	0	3	0	1	0
LINC02961	0	1	0	0	0	0
LOC107985365	5	3	4	6	1	8
LOC105373211	1	4	1	3	5	1
LNCATV	4	3	6	12	5	12
LOC107985366	0	1	0	0	0	0
LINC01348	74	30	54	30	13	25
LOC107985746	10	9	6	3	5	5
TOMM20	10163	7247	7802	13185	9173	11741
LOC105379283	37	24	17	59	23	38
SNORA14B	4	4	3	12	3	4
RBM34	966	809	795	1537	1106	1495
ARID4B	3467	2548	2852	4054	2852	3960
MIR4753	0	0	0	0	0	0
GGPS1	1455	1035	1153	2295	1628	2072
TBCE	1049	793	873	1502	979	1437
B3GALNT2	1363	991	1072	1871	1194	1673
GNG4	57	48	41	35	13	47
LYST	623	506	527	631	428	588
MIR1537	0	0	0	0	0	0
LOC105373215	0	0	0	0	0	0
LINC02768	0	0	0	0	0	0
NID1	0	1	4	0	0	0
GPR137B	2282	1628	1767	2256	1611	2183
ERO1B	437	339	339	500	325	441
EDARADD	48	24	33	66	36	47
LGALS8	3738	2776	3094	5728	4108	5414
LGALS8-AS1	150	77	101	228	144	195
LOC107985367	258	143	171	312	252	277
HEATR1	5134	3881	4163	8094	5763	7818
ACTN2	0	0	0	0	0	0
MTR	3953	2763	3157	6173	4256	5646
LOC105373218	11	12	12	7	2	4
LOC107985368	1	0	0	0	0	0
MT1HL1	0	0	0	0	0	0
RYR2	3	1	2	0	2	5
MIR4428	0	1	0	0	0	0
LOC100130331	0	0	0	0	0	1
ZP4	0	1	0	0	0	0
LOC105373220	0	0	2	0	0	0
LINC01139	11	2	5	31	24	32
LOC105373222	0	0	0	0	0	0
LOC105373223	0	0	0	0	0	0
CHRM3	12	14	4	30	21	37
LOC105373225	1	0	0	3	0	1
CHRM3-AS2	0	3	1	0	0	3
CHRM3-AS1	0	1	0	0	0	0
LOC105373224	0	0	0	0	0	0
RPS7P5	0	0	0	0	0	0
FMN2	0	0	1	1	0	0
GREM2	0	0	0	0	0	0
LOC107985369	0	0	0	0	0	0
LOC105373228	0	0	0	0	0	0
LOC100506929	0	0	0	0	0	0
RGS7	2	1	1	0	0	0
MIR3123	0	0	0	0	0	0
LOC105373230	0	0	0	0	0	0
FH	848	653	725	1838	1297	1715
KMO	179	120	134	158	130	157
LOC105373233	3	0	3	0	2	1
OPN3	461	374	406	460	348	449
CHML	1454	1234	1228	2328	1755	2390
WDR64	9	6	10	8	11	15
LOC105373231	0	0	2	1	0	0
EXO1	90	52	57	743	499	683
BECN2	0	0	0	0	2	1
MAP1LC3C	1	1	1	0	0	1
PLD5	2	0	0	0	0	0
LOC105373235	0	1	1	0	0	0
LOC105373234	0	0	0	0	0	0
LOC107985466	0	0	0	0	0	0
LINC01347	280	215	254	426	270	390
CEP170	1654	1176	1259	2518	1647	2488
SDCCAG8	777	524	603	1039	685	965
MIR4677	0	0	0	1	0	2
AKT3	48	17	34	48	42	53
LOC105373255	61	50	48	98	74	94
LINC02774	0	0	0	0	0	0
LOC105373258	0	0	0	0	0	0
ZBTB18	47	29	41	71	47	63
LOC440742	0	0	0	0	0	0
LOC112268257	0	0	0	0	0	0
LOC105373261	0	0	1	0	0	0
LOC105373260	0	0	0	0	0	0
LOC105373262	0	0	4	0	0	0
LOC107985371	0	0	0	0	0	0
C1orf100	5	4	5	5	4	3
ADSS2	2468	1774	1899	2907	1926	2761
LOC105373264	32	19	32	32	39	45
CATSPERE	23	15	18	34	18	30
DESI2	847	633	726	1308	920	1348
LOC107985372	1	4	0	0	0	0
LOC112268258	5	7	3	8	8	7
COX20	1831	1261	1315	3516	2405	3144
HNRNPU	19863	14575	15737	38695	25343	34586
SNORA100	430	300	338	954	593	784
LOC101928068	35	29	14	67	38	50
EFCAB2	284	219	246	518	345	483
LOC107985725	1	1	1	2	3	3
KIF26B	30	17	26	44	25	44
KIF26B-AS1	0	0	0	0	0	0
LOC105373266	0	0	0	0	0	0
LOC105373265	31	29	28	44	30	42
SMYD3	643	469	517	922	706	916
LOC105373270	1	1	1	0	0	0
LOC105373269	4	2	9	12	7	9
SMYD3-AS1	3	1	0	2	8	6
LOC112268277	10	8	8	18	7	15
LOC107985599	3	0	1	4	3	2
LOC107985726	0	0	1	0	0	1
LINC01743	0	2	6	0	0	3
TFB2M	934	691	666	1406	915	1285
CNST	1650	1274	1369	1613	1131	1480
LOC105373271	7	3	6	7	6	5
LOC102724382	15	19	17	4	9	15
SCCPDH	1803	1286	1478	1751	1255	1806
LOC107985373	20	13	18	22	28	31
LINC01341	25	12	31	20	13	17
AHCTF1	3890	2986	3154	5254	3504	4981
ZNF695	40	34	27	167	130	200
ZNF670-ZNF695	37	16	17	90	54	72
ZNF670	241	155	178	325	224	291
ZNF669	250	197	193	1660	1100	1688
FLJ39095	4	5	8	13	9	15
LINC02897	9	11	11	16	11	20
ZNF124	486	393	412	798	536	813
LOC112268259	458	342	388	763	538	651
MIR3916	158	118	130	270	173	243
VN1R5	0	0	0	0	0	0
LOC105373273	0	0	0	0	0	0
ZNF496	2746	1806	2083	3490	2422	3191
ZNF496-DT	118	124	119	164	111	147
LOC107985375	0	0	1	0	0	0
NLRP3	2	0	3	1	0	0
OR2B11	0	0	0	0	0	0
OR2W5P	0	0	0	0	0	0
GCSAML	0	0	2	0	0	0
GCSAML-AS1	0	0	0	0	0	0
OR2C3	0	0	0	0	0	0
LOC102724446	0	0	0	0	0	0
OR2G2	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0
OR13G1	0	0	0	0	0	0
OR6F1	0	0	0	0	0	0
OR14A2	3	0	0	0	0	0
OR14K1	0	0	0	0	0	0
OR1C1	0	0	0	0	0	0
OR14A16	0	0	0	0	0	0
OR11L1	0	0	0	0	0	0
TRIM58	0	1	0	0	0	0
OR2W3	0	0	0	0	0	0
OR2T8	0	0	0	0	0	0
OR2AJ1	0	0	0	0	0	0
OR2L13	1	0	0	0	0	0
OR2L8	0	0	0	0	0	0
OR2AK2	0	0	0	0	0	0
OR2L1P	0	0	0	0	0	0
OR2L5	0	0	0	0	0	0
OR2L2	0	0	0	0	1	0
LOC105373275	0	0	0	0	0	0
OR2L3	0	0	0	0	0	0
OR2M1P	0	0	0	0	0	0
OR2M5	0	0	0	0	0	0
OR2M2	0	0	0	0	0	0
OR2M3	0	0	0	0	0	0
OR2M4	0	0	0	0	0	0
OR2T33	0	0	0	0	0	0
OR2T12	0	0	0	0	0	0
OR2M7	0	0	0	0	0	0
OR14C36	0	0	0	0	0	0
OR2T4	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0
OR2T1	0	0	0	0	0	0
OR2T7	0	0	0	0	0	0
OR2T2	0	0	0	0	0	0
LOC105373279	0	0	0	0	0	0
OR2T3	0	0	0	0	0	0
LOC105373277	1	0	0	0	0	0
OR2T5	0	0	0	0	0	0
OR2G6	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0
OR2T34	0	0	0	0	0	0
OR2T10	0	0	0	0	0	0
OR2T11	0	1	0	0	0	0
OR2T35	0	0	0	0	0	0
OR2T27	0	0	0	0	0	0
OR14I1	0	0	0	0	0	0
LYPD9P	0	0	0	0	0	0
LYPD8	2	2	1	1	0	2
LOC107985747	0	0	0	0	0	0
SH3BP5L	2496	1708	2067	3690	2444	3279
MIR3124	6	8	8	5	8	5
ZNF672	1432	1156	1213	2339	1584	2168
ZNF692	3794	2424	3189	5566	3764	5143
PGBD2	756	465	607	1135	874	1172
TRL-CAA4-1	0	0	0	2	0	1
TRE-CTC2-1	0	0	0	3	1	1
LOC107987362	6	2	7	6	6	7
LOC105379854	30	20	24	42	30	44
LOC105379521	4	8	2	14	13	9
LOC101060632	7	9	6	23	11	13
LOC107987363	0	0	1	3	2	0
LOC102724250	2301	1643	1904	4262	2737	3936
LOC107987364	10	7	6	10	7	9
LOC105379523	14	7	7	15	7	19
LOC107987365	7	10	5	5	5	9
LOC107987366	32	20	18	28	23	31
LOC102724562	95	56	86	305	188	258
LOC105379524	46	35	43	131	80	111
TRN-GTT26-1	0	0	0	0	0	0
LOC440570	2	0	2	3	4	8
TRNAE-UUC	0	0	0	0	0	0
FAM110C	1234	1015	1034	927	712	885
LOC105373324	0	0	0	0	0	0
SH3YL1	4018	2991	3219	17700	11772	16624
ACP1	2509	1678	1911	16132	11088	15184
ALKAL2	12	11	17	16	14	14
LOC101927262	16	6	7	11	5	11
LOC105373346	50	31	40	30	12	41
LINC01865	0	4	2	1	0	0
LOC105373351	0	0	0	0	0	0
LINC01874	0	0	0	1	0	1
LOC100996637	0	0	0	0	0	0
LINC01875	0	0	0	4	4	4
LOC105373352	51	26	37	48	46	63
TMEM18	1796	1290	1459	3263	2367	3210
TMEM18-DT	106	65	94	180	132	170
LOC105373479	3	1	6	15	4	4
LOC105373358	2	0	0	0	0	0
LOC105373480	20	13	18	42	30	40
LOC105373392	0	1	0	0	0	0
LINC01115	9	4	1	21	9	14
LINC01939	0	2	0	0	0	0
LOC105373481	2	3	1	0	0	0
SNTG2-AS1	7	1	3	3	2	0
SNTG2	1	3	0	4	1	1
LOC105373359	0	2	0	1	0	0
TPO	327	239	247	525	334	422
LOC102723730	249	183	208	613	441	601
PXDN	2839	2016	2251	2865	1976	2459
MYT1L	0	1	2	0	0	0
LOC107985838	0	0	1	0	0	0
MYT1L-AS1	0	0	0	0	0	0
LOC105373389	0	0	0	0	0	0
LOC107985839	0	0	0	0	0	0
LOC105373390	0	0	0	0	0	0
LINC01250	0	0	3	1	0	0
LOC107985840	15	5	12	27	15	22
EIPR1	778	532	739	1482	1012	1357
TRAPPC12	1989	1507	1598	2925	1930	2473
ADI1	2060	1403	1677	3415	2297	3371
RNASEH1	1819	1332	1435	2312	1512	2085
RNASEH1-DT	106	93	119	203	162	200
RPS7	26463	18138	21021	41961	31480	41711
COLEC11	5	5	6	1	4	8
ALLC	5	7	5	0	2	1
LOC105373393	0	0	0	0	0	0
DCDC2C	0	0	0	0	0	0
LINC01304	0	0	0	0	0	0
LOC105373394	0	0	0	0	0	0
LOC105373395	0	0	0	0	0	0
LOC105373397	1	0	0	0	0	1
LOC107985841	0	0	1	0	0	1
LINC01249	3	0	0	0	1	0
LOC105373398	0	0	0	0	0	0
LOC105373399	0	0	0	0	0	0
LOC107985842	0	0	0	2	1	0
LOC107985843	0	0	0	0	0	0
LINC01248	0	0	0	0	0	0
SOX11	41	26	30	44	24	43
LOC112268411	0	0	0	0	1	0
LINC01810	0	0	0	0	0	0
SILC1	101	68	84	208	125	194
MIR7158	2	0	1	1	1	0
LOC400940	2	2	8	17	6	7
LOC105373401	0	0	0	0	0	0
LINC01247	0	0	0	0	0	0
LOC105373402	0	0	0	0	0	0
LINC01824	0	0	0	0	0	0
LOC107985845	0	0	0	0	0	0
LINC01246	0	0	0	0	0	0
MIR7515HG	0	0	0	0	0	0
MIR7515	0	0	0	0	0	0
LINC00487	0	0	2	0	0	0
LOC105373404	0	0	0	0	0	0
NRIR	0	0	0	0	0	0
CMPK2	47	16	29	15	9	14
RSAD2	39	27	13	5	2	9
GRASLND	0	0	0	0	0	0
RNF144A	84	64	90	508	384	356
LOC101929452	0	0	0	0	0	1
LOC107985847	1	0	1	3	0	0
LOC105373406	0	0	0	0	0	0
LOC100506274	0	0	0	2	0	0
LOC105373407	0	0	0	0	0	0
LOC101929510	0	0	2	0	0	0
LOC107985848	0	0	0	0	0	0
LINC01871	0	0	0	0	0	0
LOC105373408	0	0	0	0	0	0
LOC101929861	0	0	0	0	0	0
LOC105373409	0	0	0	0	0	0
LOC101929551	0	0	0	0	0	0
LINC00298	1	0	0	0	0	0
LINC00299	0	1	0	0	3	1
LINC01814	131	110	117	258	181	247
LOC105373411	2	4	1	2	2	1
ID2-AS1	158	115	112	156	110	154
ID2	4551	2928	3588	4877	3428	4694
LOC107985849	1	1	0	0	0	0
KIDINS220	5214	3855	4162	7363	5162	7057
MBOAT2	1551	1206	1205	1148	880	1140
LOC105373414	31	25	23	49	22	33
LOC105373416	1	0	0	0	1	0
LOC105373415	0	0	0	0	0	0
LOC105373417	0	0	1	0	0	0
LOC100506317	4	3	2	8	3	5
ASAP2	2915	2034	2370	3105	1960	2699
LOC107985851	8	5	4	9	1	4
ITGB1BP1	2083	1492	1752	2496	1721	2378
CPSF3	1105	829	986	2480	1711	2424
IAH1	1736	1327	1435	2927	2026	2848
ADAM17	1428	1055	1104	1686	1247	1592
LOC107985850	7	4	3	3	4	5
LOC101929643	9	9	5	3	3	7
YWHAQ	9312	6928	7680	14638	10181	14156
LOC105373418	1	0	0	0	0	0
LOC105373419	0	0	0	0	0	0
LOC100996549	0	0	1	0	0	0
LOC105373421	3	8	8	2	6	3
TAF1B	575	457	443	952	716	1035
LOC105373422	20	16	19	32	17	21
GRHL1	1154	831	916	7988	5472	7356
LOC107985852	1	0	0	0	0	1
LOC112268412	42	19	28	65	57	66
KLF11-DT	21	9	11	48	20	25
KLF11	1206	916	926	1192	825	1144
CYS1	4	1	1	5	4	3
RRM2	417	289	375	5454	3347	4759
MIR4261	0	0	0	0	0	0
LOC105373424	0	1	0	6	12	10
LOC101929691	15	7	10	23	22	18
HPCAL1	1975	1480	1619	2019	1277	1682
ODC1	1710	1290	1360	2049	1600	2327
SNORA80B	0	3	4	1	1	0
ODC1-DT	0	1	3	2	1	1
LOC105373426	4	2	1	1	0	0
NOL10	1288	1046	960	1923	1355	1908
RN7SL832P	41	16	25	54	58	73
ATP6V1C2	1250	895	990	2133	1478	1965
LOC105373428	19	7	13	19	17	14
PDIA6	4906	3412	3887	33256	22820	31624
LINC01954	0	0	0	0	0	0
KCNF1	439	312	312	45	36	36
FLJ33534	17	8	13	11	5	9
C2orf50	37	30	27	41	12	23
SLC66A3	1669	1236	1306	1566	1126	1431
ROCK2	2701	2154	2203	3404	2323	3304
LINC00570	0	2	2	11	14	16
LOC105373429	2	1	1	30	27	25
E2F6	995	728	792	1746	1229	1693
GREB1	1767	1212	1464	419944	279528	377428
MIR4429	1	0	0	15	7	11
NTSR2	5	9	8	14	12	14
LPIN1	1702	1168	1264	2530	1658	2443
LOC100506405	3	2	0	0	4	1
LOC101929752	0	0	0	0	0	0
MIR548S	0	0	0	1	0	0
LOC105373430	0	0	0	0	0	0
MIR4262	1	0	0	0	0	0
MIR3681HG	0	0	1	0	0	0
LOC105373433	0	0	0	0	0	0
LOC105373432	0	0	0	0	0	0
MIR3681	0	0	0	0	0	0
LOC105373431	0	0	0	0	0	0
LOC107985853	0	0	0	0	0	0
TRIB2	535	333	387	658	416	566
MIR3125	1	1	1	1	2	0
LOC100506474	1	0	2	0	0	0
LOC105373436	0	0	0	0	0	0
LOC105373484	0	0	0	0	0	0
LOC105373437	0	0	0	0	0	0
LOC105373485	0	0	0	0	0	0
LOC105373438	0	0	2	0	0	0
LOC107985854	0	0	0	0	0	0
LINC00276	0	0	0	0	0	0
LRATD1	942	677	748	878	546	772
NBAS	1928	1390	1555	2637	1930	2620
LOC105373440	2	0	0	0	1	1
DDX1	3578	2794	2903	5629	3875	5451
LINC01804	0	0	0	0	0	0
MYCNUT	0	0	0	0	0	0
MYCNOS	0	0	0	1	0	1
MYCN	4	0	4	6	9	11
GACAT3	0	1	1	0	2	0
LOC105373443	0	0	0	0	0	0
LOC107985855	0	0	0	0	0	0
LOC105373444	0	0	0	0	0	0
CYRIA	46	22	18	35	27	30
LINC01866	10	5	18	0	0	7
LOC105373447	0	1	0	0	0	0
LOC105373448	0	0	0	0	0	0
RAD51AP2	0	2	0	0	0	0
VSNL1	3	4	5	0	2	8
SMC6	1064	868	926	1795	1307	1876
GEN1	874	707	714	2300	1526	2049
LOC105373449	13	5	8	17	18	26
